"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2224e-06,3.5927e-06,0.11259,-0.015659,-0.03756,-403.21,-0.03474,-0.018669,-403.01,-0.0018261,-0.0027066,0.034341,0.00097081,26.36,3.0319e-05,3.6239e-05,-6.6558e-05,7.0204e-05,0.39092,0.39092,570.35,0,0,0,1,0.00027549,0.0001948,0.0001948,0.0065
3.2029e-06,3.5695e-06,0.11228,-0.015789,-0.037526,-405.01,-0.034711,-0.018785,-404.85,-0.001814,-0.002688,0.034588,0.0009684,26.36,3.0507e-05,3.637e-05,-6.6877e-05,6.9968e-05,0.39174,0.39174,572.93,0,0,0,1,0.00027605,0.0001952,0.0001952,0.0065
3.1833e-06,3.5464e-06,0.11196,-0.015919,-0.037492,-406.81,-0.034682,-0.018902,-406.69,-0.0018018,-0.0026695,0.034834,0.00096599,26.36,3.0694e-05,3.6502e-05,-6.7196e-05,6.9732e-05,0.39256,0.39256,575.51,0,0,0,1,0.00027662,0.0001956,0.0001956,0.0065
3.1638e-06,3.5233e-06,0.11164,-0.016049,-0.037457,-408.61,-0.034652,-0.019018,-408.54,-0.0017897,-0.0026509,0.03508,0.00096358,26.36,3.0881e-05,3.6634e-05,-6.7515e-05,6.9496e-05,0.39338,0.39337,578.09,0,0,0,1,0.00027719,0.000196,0.000196,0.0065
3.1443e-06,3.5002e-06,0.11132,-0.016179,-0.037423,-410.41,-0.034623,-0.019135,-410.38,-0.0017776,-0.0026323,0.035327,0.00096117,26.36,3.1068e-05,3.6766e-05,-6.7834e-05,6.926e-05,0.39419,0.39419,580.66,0,0,0,1,0.00027775,0.0001964,0.0001964,0.0065
3.1245e-06,3.4772e-06,0.111,-0.016303,-0.037386,-412.23,-0.034591,-0.019249,-412.23,-0.0017654,-0.0026139,0.035566,0.00095879,26.36,3.1241e-05,3.6894e-05,-6.8136e-05,6.9021e-05,0.39501,0.39501,583.26,0,0,0,1,0.00027832,0.0001968,0.0001968,0.0065
3.1033e-06,3.4549e-06,0.11065,-0.016401,-0.037334,-414.14,-0.034546,-0.019352,-414.09,-0.0017526,-0.002596,0.035766,0.00095653,26.36,3.1342e-05,3.7006e-05,-6.8348e-05,6.8769e-05,0.39583,0.39583,585.93,0,0,0,1,0.00027888,0.0001972,0.0001972,0.0065
3.082e-06,3.4327e-06,0.11031,-0.016499,-0.037283,-416.05,-0.0345,-0.019455,-415.96,-0.0017398,-0.0025781,0.035967,0.00095427,26.36,3.1443e-05,3.7118e-05,-6.8561e-05,6.8516e-05,0.39665,0.39665,588.6,0,0,0,1,0.00027945,0.0001976,0.0001976,0.0065
3.0608e-06,3.4105e-06,0.10997,-0.016596,-0.037232,-417.96,-0.034454,-0.019558,-417.82,-0.001727,-0.0025602,0.036168,0.00095201,26.36,3.1544e-05,3.723e-05,-6.8774e-05,6.8264e-05,0.39746,0.39746,591.27,0,0,0,1,0.00028001,0.000198,0.000198,0.0065
3.0395e-06,3.3883e-06,0.10963,-0.016694,-0.037181,-419.87,-0.034409,-0.019662,-419.69,-0.0017142,-0.0025424,0.036369,0.00094975,26.36,3.1645e-05,3.7342e-05,-6.8986e-05,6.8011e-05,0.39828,0.39828,593.94,0,0,0,1,0.00028058,0.0001984,0.0001984,0.0065
